LA_name,LA_code,Total Covid deaths,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
Adur,E07000223,87,3192,3909,4493,2516,2667,6818,12567,13146,7617,5418,2204,12584,9872,4194,936,92,22768,27801,10420,8088,2553,713,209,109
Amber Valley,E07000032,306,6074,6715,8358,4726,6050,14744,22845,28217,15653,9544,3279,27520,18893,7864,1926,75,16048,19882,9122,6489,2122,612,145,88
Arun,E07000224,320,7254,8232,9852,6094,7410,17737,27041,34391,23283,16537,7065,33371,26510,10515,2074,193,13861,18895,9068,7794,2670,886,275,133
Ashfield,E07000170,378,6778,7703,8976,5136,6452,16483,23508,26385,13320,8724,2840,23517,18722,9613,2532,123,11382,16109,5902,4861,1439,382,98,30
Ashford,E07000105,347,7608,8315,10055,5811,6472,16808,24989,26694,13892,8909,3199,26784,18085,7081,1528,105,17503,16630,13943,13273,7147,3134,1296,976
Babergh,E07000200,204,3971,4751,6239,3697,4010,9066,15603,20459,12785,8578,3173,20575,13976,4678,933,37,41658,42347,26841,22637,9113,3563,1542,1216
Barking and Dagenham,E09000002,513,17251,18331,21545,11810,13240,33271,50641,33747,10720,5819,2488,27781,27396,14090,4348,287,33289,39307,17958,12350,3775,987,256,128
Barnet,E09000003,867,24106,25252,30632,16639,22395,58216,88344,67656,29805,17803,8492,73825,49136,19877,5415,668,21474,24554,13258,11540,3810,1184,351,192
Barnsley,E08000016,717,13463,14366,16953,9653,12448,32951,44859,52285,26462,15765,5371,46238,36682,19079,5815,239,20406,27492,13085,11005,3347,925,241,144
Basildon,E07000066,555,12196,12480,14233,7987,9638,26256,37109,35780,17148,10502,4247,35257,26222,11652,3011,221,15492,19557,8094,5885,1774,452,147,57
Basingstoke and Deane,E07000084,287,10555,11550,13239,7072,9233,25647,38809,37033,17457,10693,3860,42182,24524,8202,1650,86,23077,28379,12065,11067,3378,931,246,107
Bassetlaw,E07000171,214,5967,6562,7908,4486,5729,14169,20900,26002,14080,8878,3123,24096,17652,7728,1912,73,21448,24647,12411,10569,3831,1325,439,280
Bath and North East Somerset,E06000022,265,9020,10045,12726,12694,18549,23176,33405,36271,19264,12724,5532,42870,25495,8952,1819,114,24753,28297,17616,16104,5852,1814,576,287
Bedford,E06000055,479,11163,11742,14205,8090,9997,25432,38534,35040,16718,10035,4272,38704,24497,9293,2224,232,133224,113012,63986,54503,29542,15649,7273,6267
Bexley,E09000004,579,15029,16198,19419,11133,13506,31988,50860,47448,21194,13765,5933,46238,32625,13232,2998,206,11095,15392,7214,6352,1858,469,137,62
Birmingham,E08000025,2716,75023,81270,99001,70493,93243,167438,222683,185279,79930,49029,21527,171117,146765,78859,25045,1670,17578,16675,9054,7827,4307,1983,800,543
Blaby,E07000129,208,5708,6227,7326,4135,4801,13018,19808,20832,11149,7215,2714,22832,13991,4903,823,26,24588,21375,9581,6076,2023,762,232,152
Blackburn with Darwen,E06000008,416,10056,11162,14008,8578,9451,20706,30705,27669,12883,6933,2584,24187,19982,10718,3692,188,10539,13197,5779,4050,1228,329,99,41
Blackpool,E06000009,382,7362,7905,9432,5822,7446,18071,24854,30950,15541,9961,3689,24769,22750,12785,4183,302,36521,36766,19218,15001,6336,2696,1169,1084
Bolsover,E07000033,222,4102,4492,5401,2995,4176,10664,14511,17723,8837,5558,1818,15065,12160,6318,1672,46,8089,10784,4822,3763,1393,372,124,55
Bolton,E08000001,680,18458,20434,24782,14354,16638,37809,57221,55544,28061,16867,5793,51290,40539,20373,6244,343,13465,16970,8935,7743,2258,639,162,76
Boston,E07000136,157,3646,4162,5110,2944,3611,9045,13491,14088,7637,4836,1933,12014,11351,4775,1181,83,64596,62123,30899,25836,13918,6663,3195,2638
Bracknell Forest,E06000036,157,7117,7858,9696,5456,6377,17516,27356,24354,10553,5948,2369,28327,15641,5132,1069,79,17774,23651,10603,9082,2846,747,204,77
Bradford,E08000032,1162,36096,39556,49185,29943,33135,72556,107703,95234,46496,25594,10911,90141,72227,35313,11416,770,16550,24205,9218,7048,2290,727,206,115
Braintree,E07000067,402,8453,8981,11265,6294,7535,19095,29615,32281,17401,10496,3851,32486,22192,8442,1768,96,31985,30225,20783,17500,8810,4512,2151,2649
Breckland,E07000143,295,6785,7671,9169,5212,6737,16602,24106,29895,18482,12143,4676,27457,22262,8786,1773,83,9402,10940,5285,4908,1365,327,79,36
Brent,E09000005,792,19970,19834,24870,16623,24589,59159,76164,59052,21908,12466,5183,47376,43300,21017,6328,591,42101,40770,18122,14243,4244,1380,352,190
Brentwood,E07000068,224,4280,4577,5322,3065,3635,9868,15056,15708,7765,5168,2601,17935,10172,3465,716,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brighton and Hove,E06000043,405,11752,13049,16934,15008,27920,41470,59089,52907,21188,12244,5546,58122,40060,17461,5195,563,16238,23360,8538,7177,1826,446,118,56
Bristol,E06000023,565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38668,43242,24235,21393,6040,1591,439,219
Broadland,E07000144,309,5937,6840,8438,5041,5533,13641,23590,28632,17403,11834,4833,29450,19966,7131,1170,42,11293,15069,6809,5932,1606,398,108,50
Bromley,E09000006,673,19491,20627,24785,13354,14676,40752,73535,64529,29853,19373,9014,74219,42434,15360,3586,228,10971,12262,7220,6461,2164,541,160,70
Bromsgrove,E07000234,247,5160,5687,7237,4119,4291,10331,18436,21185,11488,7878,3374,22586,13220,4557,868,33,14581,18254,7480,5777,1653,418,128,70
Broxbourne,E07000095,215,5945,6169,7456,4312,5192,13090,20239,19363,8815,5946,2478,18526,13972,5813,1403,136,13126,12801,6279,4463,1857,800,315,231
Broxtowe,E07000172,261,5291,6050,7060,4603,6369,14555,20232,22560,12777,8258,3189,24190,16338,6398,1384,51,24880,26584,13122,10148,3621,1356,555,429
Burnley,E07000117,290,5761,6174,7513,4233,5171,12900,17738,18259,9551,5469,1880,16305,13669,7316,2440,142,30308,30724,13462,10276,3591,1286,500,329
Bury,E08000002,519,11159,12489,15329,8754,9545,25011,37922,38195,19398,11826,4223,38309,27078,11875,3263,170,16660,17050,8400,6525,2085,775,323,655
Calderdale,E08000033,318,11317,12803,15877,9038,10125,24920,39471,43769,21958,12688,4661,43225,29923,13398,3731,199,35929,28682,12979,9162,3747,1384,516,358
Cambridge,E07000008,121,6347,6702,7860,10314,20309,29820,27657,20052,8701,5486,2428,29647,15868,5485,1390,82,12573,15861,7502,5234,1712,414,105,59
Camden,E09000007,308,10032,9873,12323,11808,20165,42543,44408,34157,13663,8099,3063,44082,29601,13535,4938,603,19046,22843,9959,7927,2746,908,260,103
Cannock Chase,E07000192,265,5566,5696,6779,3996,5245,13791,18523,21376,10664,6666,2227,19804,14699,7105,1784,65,10221,13567,6056,5188,1653,474,140,89
